scenario,group,number,rate
noaca,1,2725902.4,0.09120189699999999
currentaca,1,818243.41,0.027376384
acanoschip,1,818243.41,0.027376384
acanomoe,1,818243.41,0.027376384
king,1,1015163.21,0.03396483
kingnoschip,1,1015163.21,0.03396483
kingnomoe,1,1015163.21,0.03396483
noaca,2,939178.53,0.101718614
currentaca,2,501472.52,0.054312453
acanoschip,2,1204955.88,0.13050388
acanomoe,2,1881434.62,0.20377054600000002
king,2,647501.87,0.070128299
kingnoschip,2,1350985.23,0.14631972599999998
kingnomoe,2,2521794.77,0.273125354
noaca,3,1313274.5,0.063575354
currentaca,3,720444.37,0.034876567000000004
acanoschip,3,1164143.1,0.056355933
acanomoe,3,1316269.33,0.063720333
king,3,1070762.7,0.051835407
kingnoschip,3,1514461.43,0.073314773
kingnomoe,3,1776194.31,0.085985209
noaca,4,932669.53,0.047779585
currentaca,4,835724.26,0.04281319
acanoschip,4,836652.4161,0.042860737999999995
acanomoe,4,836652.4161,0.042860737999999995
king,4,871324.032,0.044636925
kingnoschip,4,872252.1881,0.044684474
kingnomoe,4,872252.1881,0.044684474
